Specification of reservoir parameters			
"Subasin-ID, water_storage_capacity[m**3], dam_height [m], spillway_discharge[m**3/s]"			
218	27092	"6,23"	"46,42"
219	13082	"5,49"	"26,67"
220	75441	"7,43"	"55,76"
221	8762	"5,12"	"18,66"
222	141441	"8,28"	"40,75"
223	392618	"9,87"	"83,74"
224	102129	"7,83"	"78,73"
225	10293	"5,27"	"20,71"
226	16011	"5,69"	"46,19"
227	15023	"5,62"	"47,59"
228	167385	"8,52"	"162,43"
229	7934	"5,04"	19
230	32192	"6,41"	"44,32"
231	29556	"6,32"	"25,75"
232	9498	"5,2"	"20,15"
233	13092	"5,49"	"30,06"
234	27116	"6,23"	"37,2"
235	28278	"6,27"	"38,92"
236	93167	"7,7"	"58,7"
237	33448	"6,46"	"41,94"
238	49911	"6,92"	"33,96"
239	391915	"9,87"	"139,89"
240	712564	"10,94"	"180,04"
241	499622	"10,29"	"139,56"
242	17133	"5,75"	"33,01"
243	223672	"8,96"	"72,1"
244	23441	"6,07"	"24,73"
245	125633	"8,11"	"64,57"
246	610621	"10,65"	"107,18"
247	13969	"5,55"	"35,4"
248	1607070	"12,59"	"203,87"
249	9506	"5,2"	"30,39"
250	13177	"5,5"	"19,49"
251	12141	"5,42"	"27,9"
252	63951	"7,22"	"41,25"
253	29543	"6,32"	"33,91"
254	20429	"5,93"	"25,1"
255	297512	"9,41"	"63,18"
256	45428	"6,81"	"27,03"
257	14027	"5,56"	"21,64"
258	9591	"5,2"	"27,29"
259	61013	"7,16"	"47,17"
260	15033	"5,62"	"29,86"
261	1280797	"12,1"	"177,56"
262	28205	"6,27"	"45,82"
263	28425	"6,28"	"48,28"
264	65494	"7,25"	"32,35"
265	135150	"8,21"	"50,07"
266	32192	"6,41"	"36,21"
267	19248	"5,87"	"20,07"
268	150884	"8,37"	"60,96"
269	16031	"5,69"	"26,85"
270	9523	"5,2"	"16,4"
271	39974	"6,66"	"27,89"
272	63791	"7,22"	"41,6"
273	326331	"9,56"	"98,93"
274	395097	"9,88"	"123,69"
275	37390	"6,58"	"24,63"
276	7942	"5,04"	"30,45"
277	265906	"9,23"	"67,75"
278	10279	"5,27"	"21,49"
279	33473	"6,46"	"37,11"
280	17881	"5,79"	"50,42"
281	15013	"5,62"	"38,89"
282	9430	"5,19"	"14,61"
283	16132	"5,69"	"29,05"
284	11440	"5,37"	"24,49"
285	49955	"6,92"	"65,95"
286	107823	"7,9"	"63,3"
287	23671	"6,08"	"59,1"
288	13186	"5,5"	"18,06"
289	12326	"5,43"	"17,06"
290	20243	"5,92"	"29,46"
291	163343	"8,49"	"87,74"
292	56364	"7,06"	"63,61"
293	27092	"6,23"	"20,94"
294	17051	"5,75"	"32,29"
295	16122	"5,69"	"25,02"
296	23590	"6,08"	"26,18"
297	7862	"5,03"	"26,61"
298	7878	"5,03"	"14,7"
299	22542	"6,03"	"26,17"
300	110002	"7,93"	"97,69"
301	12059	"5,41"	"22,98"
302	12169	"5,42"	"24,06"
303	8121381	"16,64"	"1662,77"
304	16958	"5,74"	"22,51"
305	18080	"5,81"	"40,16"
306	16031	"5,69"	"23,74"
307	15112	"5,63"	"42,21"
308	211254	"8,87"	"104,94"
309	20123	"5,91"	"33,86"
310	20123	"5,91"	"28,48"
311	13930	"5,55"	"20,94"
312	8022	"5,05"	"37,9"
313	216448	"8,91"	"51,83"
314	216424	"8,91"	"108,74"
315	29581	"6,32"	"31,61"
316	7950	"5,04"	"26,93"
317	7862	"5,03"	"18,71"
318	96433	"7,75"	"51,78"
319	116175	8	"67,12"
320	102178	"7,83"	"80,59"
321	20330	"5,92"	"38,57"
322	9630000	"17,14"	"374,66"
323	626215	"10,7"	"216,18"
324	34641	"6,49"	"39,4"
325	28950881	"20,72"	"1127,69"
326	63583	"7,21"	"48,23"
327	15112	"5,63"	"31,6"
328	131165	"8,17"	"66,1"
329	33332	"6,45"	"54,37"
330	5653925	"15,64"	"331,85"
331	152100	"8,38"	"90,23"
